,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,route_4_id,route_4_coords,dist_to_route_4,time_to_route_4,route_5_id,route_5_coords,dist_to_route_5,time_to_route_5,route_6_id,route_6_coords,dist_to_route_6,time_to_route_6,seed_route_score,route_2_score,route_3_score,route_4_score,route_5_score,route_6_score
0,105717322,12.747646541451736,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,2.581666666666667,,,,,,,,,,,,,,,,,4,2.787479874785069,,,,
1,105717322,14.561666847310647,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,1.5794444444444444,,,,,,,,,,,,,,,,,4,3.4990557361995345,,,,
2,105717322,13.465235167378859,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,1.9691666666666667,,,,,,,,,,,,,,,,,4,2.8313185007121917,,,,
3,105717322,13.007207389601081,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,2.3855555555555554,,,,,,,,,,,,,,,,,4,2.8313185007121917,,,,
4,105717322,13.184243973459543,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,2.855833333333333,,,,,,,,,,,,,,,,,4,3.525660640126208,,,,
5,105717322,13.703568500712192,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,,,,,,,,,,,,,4,2.8313185007121917,,,,
6,105717322,12.904376896196718,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,2.584722222222222,,,,,,,,,,,,,,,,,4,2.947571340641162,,,,
7,105717322,13.838313388762382,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.771111111111112,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.1894444444444447,,,,,,,,,,,,,4,2.787479874785069,3.4990557361995345,,,
8,105717322,12.924603931052815,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.994722222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4130555555555553,,,,,,,,,,,,,4,2.787479874785069,2.8313185007121917,,,
9,105717322,12.280187264386148,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,5.580555555555556,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9988888888888887,,,,,,,,,,,,,4,2.787479874785069,2.8313185007121917,,,
10,105717322,14.908368944317937,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.7983333333333333,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.218888888888889,,,,,,,,,,,,,4,3.4990557361995345,2.787479874785069,,,
11,105717322,15.62595757024506,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.185833333333333,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.6063888888888889,,,,,,,,,,,,,4,3.4990557361995345,2.8313185007121917,,,
12,105717322,15.25684645913395,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.5213888888888887,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9419444444444445,,,,,,,,,,,,,4,3.4990557361995345,2.8313185007121917,,,
13,105717322,13.559242819941705,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.417777777777777,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.448611111111111,,,,,,,,,,,,,4,2.8313185007121917,2.787479874785069,,,
14,105717322,15.181068681356171,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,3.5902777777777777,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.621111111111111,,,,,,,,,,,,,4,2.8313185007121917,3.4990557361995345,,,
15,105717322,13.626609223646604,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.39638888888889,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4272222222222224,,,,,,,,,,,,,4,2.8313185007121917,2.8313185007121917,,,
16,105717322,12.46993726438615,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,5.408055555555555,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.0225,,,,,,,,,,,,,4,2.8313185007121917,2.787479874785069,,,
17,105717322,14.36920757024506,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.328333333333333,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9427777777777777,,,,,,,,,,,,,4,2.8313185007121917,3.4990557361995345,,,
18,105717322,13.187525890313271,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.795555555555556,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.41,,,,,,,,,,,,,4,2.8313185007121917,2.8313185007121917,,,
19,105717322,14.568918292689055,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,4.13111111111111,105717400.0,"(38.0363, -109.5455)",6.097530664744554,1.2752777777777777,,,,,,,,,,,,,4,3.525660640126208,2.787479874785069,,,
