,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,route_4_id,route_4_coords,dist_to_route_4,time_to_route_4,seed_route_score,route_2_score,route_3_score,route_4_score
0,105732539,12.39005366809105,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8841666666666668,1.8841666666666668,,,,,,,,,2.8313185007121917,2.8313185007121917,,
1,105732539,12.530914779202162,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7561111111111112,1.7561111111111112,,,,,,,,,2.8313185007121917,2.8313185007121917,,
2,105732539,13.361720334757717,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,1.0008333333333332,,,,,,,,,2.8313185007121917,2.8313185007121917,,
3,105732539,12.818137001424384,13.972808729044205,"(36.0786, -115.4784)",105795000.0,"(36.1558, -115.4362)",1.495,1.495,,,,,,,,,2.8313185007121917,2.8313185007121917,,
4,105732539,13.315887001424382,0.8307753489007916,"(36.1623, -115.4495)",105821400.0,"(36.1558, -115.4362)",1.0425,1.0425,,,,,,,,,2.8313185007121917,2.8313185007121917,,
5,105732539,13.007275890313274,8.479252364323264,"(36.129, -115.4878)",105926100.0,"(36.1558, -115.4362)",1.3230555555555554,1.3230555555555554,,,,,,,,,2.8313185007121917,2.8313185007121917,,
6,105732539,13.759899946581019,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8841666666666668,3.212777777777778,105732800.0,"(36.0192, -115.4701)",3.354791405172307,1.3286111111111112,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
7,105732539,13.363594391025465,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8841666666666668,3.5730555555555554,105788000.0,"(36.156, -115.4366)",20.10265077609455,1.6888888888888889,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
8,105732539,13.899844391025464,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7561111111111112,3.0855555555555556,105732500.0,"(36.0351, -115.4634)",3.354791405172307,1.3294444444444444,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
9,105732539,13.64501105769213,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7561111111111112,3.317222222222222,105788000.0,"(36.156, -115.4366)",18.81268097480955,1.5611111111111111,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
10,105732539,14.121372168803244,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,2.8841666666666663,105732500.0,"(36.0351, -115.4634)",25.419737283606946,1.8833333333333333,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
11,105732539,14.262233279914355,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,2.756111111111111,105732800.0,"(36.0192, -115.4701)",24.129767482321945,1.7552777777777777,,,,,2.8313185007121917,2.8313185007121917,2.8313185007121917,
