,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,route_4_id,route_4_coords,dist_to_route_4,time_to_route_4,route_5_id,route_5_coords,dist_to_route_5,time_to_route_5,route_6_id,route_6_coords,dist_to_route_6,time_to_route_6,seed_route_score,route_2_score,route_3_score,route_4_score,route_5_score,route_6_score
0,105732605,12.14894790450623,19.574483949942213,"(36.0351, -115.4634)",105732500.0,"(36.144, -115.4907)",1.6469444444444443,1.6469444444444443,,,,,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,,,,
1,105732605,12.287364571172898,18.284514148657216,"(36.0192, -115.4701)",105732800.0,"(36.144, -115.4907)",1.521111111111111,1.521111111111111,,,,,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,,,,
2,105732605,13.033269877112696,8.775025786968571,"(36.156, -115.4366)",105788000.0,"(36.144, -115.4907)",1.3069444444444445,1.3069444444444445,,,,,,,,,,,,,,,,,2.329268292682927,3.3416404733186575,,,,
3,105732605,11.39235162601626,8.107671467806679,"(36.0786, -115.4784)",105795000.0,"(36.144, -115.4907)",1.2608333333333333,1.2608333333333333,,,,,,,,,,,,,,,,,2.329268292682927,1.6500000000000001,,,,
4,105732605,12.47619790450623,9.58591720829657,"(36.1623, -115.4495)",105821400.0,"(36.144, -115.4907)",1.3494444444444444,1.3494444444444444,,,,,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,,,,
5,105732605,12.761892348950674,2.6141151030857372,"(36.129, -115.4878)",105926100.0,"(36.144, -115.4907)",1.0897222222222223,1.0897222222222223,,,,,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,,,,
6,105732605,13.526433071885089,19.574483949942213,"(36.0351, -115.4634)",105732500.0,"(36.144, -115.4907)",1.6469444444444443,2.968611111111111,105732800.0,"(36.0192, -115.4701)",3.354791405172307,1.3216666666666668,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,2.8313185007121917,,,
7,105732605,13.636782822269332,19.574483949942213,"(36.0351, -115.4634)",105732500.0,"(36.144, -115.4907)",1.6469444444444443,3.332222222222222,105788000.0,"(36.156, -115.4366)",20.10265077609455,1.6852777777777779,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,3.3416404733186575,,,
8,105732605,13.66393307188509,18.284514148657216,"(36.0192, -115.4701)",105732800.0,"(36.144, -115.4907)",1.521111111111111,2.843611111111111,105732500.0,"(36.0351, -115.4634)",3.354791405172307,1.3225,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,2.8313185007121917,,,
9,105732605,13.916366155602667,18.284514148657216,"(36.0192, -115.4701)",105732800.0,"(36.144, -115.4907)",1.521111111111111,3.0780555555555553,105788000.0,"(36.156, -115.4366)",18.81268097480955,1.5569444444444445,,,,,,,,,,,,,2.329268292682927,2.8313185007121917,3.3416404733186575,,,
10,105732605,13.802393933380444,8.775025786968571,"(36.156, -115.4366)",105788000.0,"(36.144, -115.4907)",1.3069444444444445,3.1816666666666666,105732500.0,"(36.0351, -115.4634)",25.419737283606946,1.8747222222222222,,,,,,,,,,,,,2.329268292682927,3.3416404733186575,2.8313185007121917,,,
11,105732605,13.94081060004711,8.775025786968571,"(36.156, -115.4366)",105788000.0,"(36.144, -115.4907)",1.3069444444444445,3.055833333333333,105732800.0,"(36.0192, -115.4701)",24.129767482321945,1.748888888888889,,,,,,,,,,,,,2.329268292682927,3.3416404733186575,2.8313185007121917,,,
12,105732605,12.566642348950676,8.107671467806679,"(36.0786, -115.4784)",105795000.0,"(36.144, -115.4907)",1.2608333333333333,2.7672222222222222,105732500.0,"(36.0351, -115.4634)",13.518585258553196,1.506388888888889,,,,,,,,,,,,,2.329268292682927,1.6500000000000001,2.8313185007121917,,,
