,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,seed_route_score,route_2_score,route_3_score
0,105732539,14.599525890313274,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8755555555555556,1.8755555555555556,,,,,2.8313185007121917,2.8313185007121917,
1,105732539,14.737942556979942,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7497222222222222,1.7497222222222222,,,,,2.8313185007121917,2.8313185007121917,
2,105732539,15.56172033475772,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,1.0008333333333332,,,,,2.8313185007121917,2.8313185007121917,
3,105732539,15.020581445868828,13.972808729044205,"(36.0786, -115.4784)",105795000.0,"(36.1558, -115.4362)",1.4927777777777778,1.4927777777777778,,,,,2.8313185007121917,2.8313185007121917,
4,105732539,15.51680366809105,0.8307753489007916,"(36.1623, -115.4495)",105821400.0,"(36.1558, -115.4362)",1.0416666666666667,1.0416666666666667,,,,,2.8313185007121917,2.8313185007121917,
5,105732539,15.209109223646607,8.479252364323264,"(36.129, -115.4878)",105926100.0,"(36.1558, -115.4362)",1.321388888888889,1.321388888888889,,,,,2.8313185007121917,2.8313185007121917,
6,105732539,13.13744255697994,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8755555555555556,3.2047222222222222,105732800.0,"(36.0192, -115.4701)",3.354791405172307,1.3291666666666666,2.8313185007121917,2.8313185007121917,2.8313185007121917
7,105732539,12.745720334757717,25.43962121117974,"(36.0351, -115.4634)",105732500.0,"(36.1558, -115.4362)",1.8755555555555556,3.5608333333333335,105788000.0,"(36.156, -115.4366)",20.10265077609455,1.6852777777777779,2.8313185007121917,2.8313185007121917,2.8313185007121917
8,105732539,13.275248112535495,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7497222222222222,3.0794444444444444,105732500.0,"(36.0351, -115.4634)",3.354791405172307,1.3297222222222222,2.8313185007121917,2.8313185007121917,2.8313185007121917
9,105732539,13.021025890313274,24.14965140989474,"(36.0192, -115.4701)",105732800.0,"(36.1558, -115.4362)",1.7497222222222222,3.3105555555555553,105788000.0,"(36.156, -115.4366)",18.81268097480955,1.5608333333333333,2.8313185007121917,2.8313185007121917,2.8313185007121917
10,105732539,13.485775890313272,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,2.888055555555556,105732500.0,"(36.0351, -115.4634)",25.419737283606946,1.8872222222222224,2.8313185007121917,2.8313185007121917,2.8313185007121917
11,105732539,13.63794255697994,0.01926255483614401,"(36.156, -115.4366)",105788000.0,"(36.1558, -115.4362)",1.0008333333333332,2.749722222222222,105732800.0,"(36.0192, -115.4701)",24.129767482321945,1.748888888888889,2.8313185007121917,2.8313185007121917,2.8313185007121917
12,105732539,13.36355366809105,13.972808729044205,"(36.0786, -115.4784)",105795000.0,"(36.1558, -115.4362)",1.4927777777777778,2.9991666666666665,105732500.0,"(36.0351, -115.4634)",13.518585258553196,1.506388888888889,2.8313185007121917,2.8313185007121917,2.8313185007121917
13,105732539,13.501970334757718,13.972808729044205,"(36.0786, -115.4784)",105795000.0,"(36.1558, -115.4362)",1.4927777777777778,2.873333333333333,105732800.0,"(36.0192, -115.4701)",12.228615457268198,1.3805555555555555,2.8313185007121917,2.8313185007121917,2.8313185007121917
14,105732539,13.619914779202162,13.972808729044205,"(36.0786, -115.4784)",105795000.0,"(36.1558, -115.4362)",1.4927777777777778,2.766111111111111,105788000.0,"(36.156, -115.4366)",8.032485366672052,1.2733333333333334,2.8313185007121917,2.8313185007121917,2.8313185007121917
15,105732539,13.462859223646607,0.8307753489007916,"(36.1623, -115.4495)",105821400.0,"(36.1558, -115.4362)",1.0416666666666667,2.908888888888889,105732500.0,"(36.0351, -115.4634)",24.849317111362424,1.8672222222222223,2.8313185007121917,2.8313185007121917,2.8313185007121917
16,105732539,13.601275890313273,0.8307753489007916,"(36.1623, -115.4495)",105821400.0,"(36.1558, -115.4362)",1.0416666666666667,2.7830555555555554,105732800.0,"(36.0192, -115.4701)",23.559347310077424,1.7413888888888889,2.8313185007121917,2.8313185007121917,2.8313185007121917
17,105732539,13.834720334757716,0.8307753489007916,"(36.1623, -115.4495)",105821400.0,"(36.1558, -115.4362)",1.0416666666666667,2.5708333333333337,105788000.0,"(36.156, -115.4366)",14.049858948388781,1.5291666666666668,2.8313185007121917,2.8313185007121917,2.8313185007121917
18,105732539,13.465914779202162,8.479252364323264,"(36.129, -115.4878)",105926100.0,"(36.1558, -115.4362)",1.321388888888889,2.906111111111111,105732500.0,"(36.0351, -115.4634)",17.055438875563897,1.5847222222222221,2.8313185007121917,2.8313185007121917,2.8313185007121917
19,105732539,13.615637001424385,8.479252364323264,"(36.129, -115.4878)",105926100.0,"(36.1558, -115.4362)",1.321388888888889,2.77,105732800.0,"(36.0192, -115.4701)",15.765469074278897,1.448611111111111,2.8313185007121917,2.8313185007121917,2.8313185007121917
20,105732539,13.852442556979938,8.479252364323264,"(36.129, -115.4878)",105926100.0,"(36.1558, -115.4362)",1.321388888888889,2.5547222222222223,105788000.0,"(36.156, -115.4366)",6.2559807125902545,1.2333333333333334,2.8313185007121917,2.8313185007121917,2.8313185007121917
