,seed_route,total_score,dist_to_route_2,route_2_coords,route_2_id,seed_coords,time_to_route_2,total_trip_length,route_3_id,route_3_coords,dist_to_route_3,time_to_route_3,seed_route_score,route_2_score,route_3_score
0,105717322,14.947646541451736,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,2.581666666666667,,,,,4,2.787479874785069,
1,105717322,16.761666847310646,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,1.5794444444444444,,,,,4,3.4990557361995345,
2,105717322,15.665235167378858,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,1.9691666666666667,,,,,4,2.8313185007121917,
3,105717322,15.20720738960108,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,2.3855555555555554,,,,,4,2.8313185007121917,
4,105717322,15.384243973459544,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,2.855833333333333,,,,,4,3.525660640126208,
5,105717322,15.903568500712193,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,1.7525,,,,,4,2.8313185007121917,
6,105717322,15.104376896196717,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,2.584722222222222,,,,,4,2.947571340641162,
7,105717322,12.539257652562846,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.771111111111112,105718000.0,"(38.6192, -109.618)",62.078243254998945,2.1894444444444447,4,2.787479874785069,3.4990557361995345
8,105717322,12.293285430340624,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,4.994722222222222,105718300.0,"(38.4951, -109.6202)",65.13477574657935,2.4130555555555553,4,2.787479874785069,2.8313185007121917
9,105717322,11.652535430340624,78.50236743012664,"(38.0363, -109.5455)",105717400.0,"(38.6571, -109.3678)",2.581666666666667,5.577222222222223,105718600.0,"(38.305, -109.866)",100.47348602532716,2.9955555555555557,4,2.787479874785069,2.8313185007121917
10,105717322,14.319666847310646,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.799444444444444,105717400.0,"(38.0363, -109.5455)",62.076379136789,2.2199999999999998,4,3.4990557361995345,2.787479874785069
11,105717322,14.99463906953287,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.185833333333333,105718300.0,"(38.4951, -109.6202)",15.390781314079064,1.6063888888888889,4,3.4990557361995345,2.8313185007121917
12,105717322,14.625527958421758,23.817216995787096,"(38.6192, -109.618)",105718000.0,"(38.6571, -109.3678)",1.5794444444444444,3.5213888888888887,105718600.0,"(38.305, -109.866)",41.619545900804056,1.9419444444444445,4,3.4990557361995345,2.8313185007121917
13,105717322,12.971762945156637,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.417777777777777,105717400.0,"(38.0363, -109.5455)",65.13477574657935,2.448611111111111,4,2.8313185007121917,2.787479874785069
14,105717322,13.890262945156636,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,3.582777777777778,105718000.0,"(38.6192, -109.618)",15.392645432289013,1.613611111111111,4,2.8313185007121917,3.4990557361995345
15,105717322,12.995290722934413,31.816769607416706,"(38.4951, -109.6202)",105718300.0,"(38.6571, -109.3678)",1.9691666666666667,4.39638888888889,105718600.0,"(38.305, -109.866)",53.787888202617225,2.4272222222222224,4,2.8313185007121917,2.8313185007121917
16,105717322,11.88245738960108,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,5.408055555555555,105717400.0,"(38.0363, -109.5455)",100.53997290814868,3.0225,4,2.8313185007121917,2.787479874785069
17,105717322,13.070151834045525,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.328333333333333,105718000.0,"(38.6192, -109.618)",41.705916711198384,1.9427777777777777,4,2.8313185007121917,3.4990557361995345
18,105717322,12.55620738960108,62.2124597661153,"(38.305, -109.866)",105718600.0,"(38.6571, -109.3678)",2.3855555555555554,4.795555555555556,105718300.0,"(38.4951, -109.6202)",53.854375085438754,2.41,4,2.8313185007121917,2.8313185007121917
19,105717322,13.981438417903988,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,4.13111111111111,105717400.0,"(38.0363, -109.5455)",6.097530664744554,1.2752777777777777,4,3.525660640126208,2.787479874785069
20,105717322,12.669993973459542,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.323333333333333,105718000.0,"(38.6192, -109.618)",68.1757739197435,2.4675000000000002,4,3.525660640126208,3.4990557361995345
21,105717322,12.427077306792874,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,5.5441666666666665,105718300.0,"(38.4951, -109.6202)",71.2323064113239,2.6883333333333335,4,3.525660640126208,2.8313185007121917
22,105717322,11.786632862348432,84.5998980948712,"(38.0368, -109.5774)",105800700.0,"(38.6571, -109.3678)",2.855833333333333,6.126388888888888,105718600.0,"(38.305, -109.866)",106.57101669007172,3.2705555555555557,4,3.525660640126208,2.8313185007121917
23,105717322,13.451179611823303,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.9819444444444443,105717400.0,"(38.0363, -109.5455)",61.18408788695987,2.2294444444444443,4,2.8313185007121917,2.787479874785069
24,105717322,14.35959627848997,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.156111111111111,105718000.0,"(38.6192, -109.618)",11.441957572669542,1.4036111111111111,4,2.8313185007121917,3.4990557361995345
25,105717322,14.565235167378859,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,2.9691666666666667,105718300.0,"(38.4951, -109.6202)",3.9506878596194714,1.2166666666666668,4,2.8313185007121917,2.8313185007121917
26,105717322,13.47470738960108,27.866081747797235,"(38.5232, -109.6024)",105884200.0,"(38.6571, -109.3678)",1.7525,3.9605555555555556,105718600.0,"(38.305, -109.866)",49.837200342997754,2.2080555555555557,4,2.8313185007121917,2.8313185007121917
27,105717322,14.001015785085606,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,3.5877777777777777,105717400.0,"(38.0363, -109.5455)",0.12676003827656057,1.0030555555555556,4,2.947571340641162,2.787479874785069
28,105717322,12.692626896196717,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,4.777222222222222,105718000.0,"(38.6192, -109.618)",62.20500329327551,2.1925,4,2.947571340641162,3.4990557361995345
29,105717322,12.446654673974496,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,5.0008333333333335,105718300.0,"(38.4951, -109.6202)",65.26153578485591,2.4161111111111113,4,2.947571340641162,2.8313185007121917
30,105717322,11.805904673974496,78.6291274684032,"(38.0398, -109.5436)",105886700.0,"(38.6571, -109.3678)",2.584722222222222,5.583333333333333,105718600.0,"(38.305, -109.866)",100.60024606360372,2.998611111111111,4,2.947571340641162,2.8313185007121917
